buyer_state,population_average
AK,683077
AL,4698683
AR,2857450
AZ,6256743
CA,36587988
CO,4879029
CT,3537289
DC,585410
DE,878712
FL,18481446
GA,9470332
HI,1325736
IA,3010521
ID,1520749
IL,12747324
IN,6405249
KS,2803449
KY,4279971
LA,4424220
MA,6481671
MD,5688802
ME,1326120
MI,9970573
MN,5234218
MO,5917017
MS,2938529
MT,971064
NC,9232086
ND,657492
NE,1794876
NH,1314225
NJ,8709961
NM,2004754
NV,2619151
NY,19257663
OH,11511491
OK,3663764
OR,3755715
PA,12596665
RI,1056516
SC,4495067
SD,799048
TN,6222433
TX,24230662
UT,2653849
VA,7823269
VT,623664
WA,6544738
WI,5631273
WV,1835903
WY,541516
