countyfips,buyer_county,buyer_state,average_pills_per_year
01001,AUTAUGA,AL,3038353
01003,BALDWIN,AL,9989512
01005,BARBOUR,AL,1141520
01007,BIBB,AL,1059437
01009,BLOUNT,AL,1705784
01011,BULLOCK,AL,272746
01013,BUTLER,AL,1077666
01015,CALHOUN,AL,7204196
01017,CHAMBERS,AL,1927252
01019,CHEROKEE,AL,1742050
01021,CHILTON,AL,2068367
01023,CHOCTAW,AL,759010
01025,CLARKE,AL,1266106
01027,CLAY,AL,657613
01029,CLEBURNE,AL,334513
01031,COFFEE,AL,2275161
01033,COLBERT,AL,4641544
01035,CONECUH,AL,897797
01037,COOSA,AL,182146
01039,COVINGTON,AL,2581245
01041,CRENSHAW,AL,486836
01043,CULLMAN,AL,4959407
01045,DALE,AL,1818083
01047,DALLAS,AL,1425110
01049,DE KALB,AL,3448161
01051,ELMORE,AL,3268646
01053,ESCAMBIA,AL,2261684
01055,ETOWAH,AL,7874774
01057,FAYETTE,AL,702061
01059,FRANKLIN,AL,2830669
01061,GENEVA,AL,1111500
01063,GREENE,AL,127576
01065,HALE,AL,438024
01067,HENRY,AL,469703
01069,HOUSTON,AL,5361079
01071,JACKSON,AL,4016723
01073,JEFFERSON,AL,35376685
01075,LAMAR,AL,779694
01077,LAUDERDALE,AL,4832351
01079,LAWRENCE,AL,1648710
01081,LEE,AL,2671377
01083,LIMESTONE,AL,3008529
01085,LOWNDES,AL,147389
01087,MACON,AL,409200
01089,MADISON,AL,17629551
01091,MARENGO,AL,853431
01093,MARION,AL,3305180
01095,MARSHALL,AL,7000791
01097,MOBILE,AL,21463219
01099,MONROE,AL,905170
01101,MONTGOMERY,AL,8155462
01103,MORGAN,AL,7196999
01105,PERRY,AL,177434
01107,PICKENS,AL,570744
01109,PIKE,AL,1306557
01111,RANDOLPH,AL,980356
01113,RUSSELL,AL,2819196
01115,SAINT CLAIR,AL,3149726
01117,SHELBY,AL,8073252
01119,SUMTER,AL,280956
01121,TALLADEGA,AL,4707824
01123,TALLAPOOSA,AL,1535906
01125,TUSCALOOSA,AL,7120480
01127,WALKER,AL,9488785
01129,WASHINGTON,AL,158340
01131,WILCOX,AL,141017
01133,WINSTON,AL,2076890
02013,ALEUTIANS EAST,AK,200
02016,ALEUTIANS WEST,AK,27700
02020,ANCHORAGE,AK,8898995
02050,BETHEL,AK,3743
02068,DENALI,AK,2333
02090,FAIRBANKS NORTH STAR,AK,2406946
02100,HAINES,AK,56719
02110,JUNEAU,AK,851393
02122,KENAI PENINSULA,AK,2433368
02130,KETCHIKAN GATEWAY,AK,576660
02150,KODIAK ISLAND,AK,265400
02170,MATANUSKA SUSITNA,AK,3457431
02180,NOME,AK,350
02185,NORTH SLOPE,AK,995
02188,NORTHWEST ARCTIC,AK,800
02195,PETERSBURG,AK,88929
02198,PRINCE OF WALES HYDER,AK,107457
02220,SITKA,AK,243736
02230,SKAGWAY,AK,720
02240,SOUTHEAST FAIRBANKS,AK,82814
02261,VALDEZ CORDOVA,AK,252214
02275,WRANGELL,AK,52039
04001,APACHE,AZ,660256
04003,COCHISE,AZ,5384451
04005,COCONINO,AZ,3354526
04007,GILA,AZ,3012063
04009,GRAHAM,AZ,2089064
04011,GREENLEE,AZ,94920
04012,LA PAZ,AZ,851663
04013,MARICOPA,AZ,143510024
04015,MOHAVE,AZ,14698954
04017,NAVAJO,AZ,3374042
04019,PIMA,AZ,43091537
04021,PINAL,AZ,10159023
04023,SANTA CRUZ,AZ,715794
04025,YAVAPAI,AZ,10120888
04027,YUMA,AZ,4639961
05001,ARKANSAS,AR,1009380
05003,ASHLEY,AR,846151
05005,BAXTER,AR,2155659
05007,BENTON,AR,7910140
05009,BOONE,AR,1910356
05011,BRADLEY,AR,376081
05013,CALHOUN,AR,217564
05015,CARROLL,AR,1684190
05017,CHICOT,AR,694809
05019,CLARK,AR,1074374
05021,CLAY,AR,654053
05023,CLEBURNE,AR,1102087
05025,CLEVELAND,AR,19057
05027,COLUMBIA,AR,904184
05029,CONWAY,AR,1030523
05031,CRAIGHEAD,AR,4876418
05033,CRAWFORD,AR,3756071
05035,CRITTENDEN,AR,1943819
05037,CROSS,AR,540324
05039,DALLAS,AR,291101
05041,DESHA,AR,504516
05043,DREW,AR,631787
