"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error	% of Total Deaths
	"Autauga County, AL"	"01001"	Suppressed	376497	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Baldwin County, AL"	"01003"	80	1255530	6.4	5.1	7.9	0.7	6.8	5.4	8.5	0.8	0.1%
	"Barbour County, AL"	"01005"	Suppressed	192860	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	10	158461	Unreliable	3.0	11.6	2.0	Unreliable	3.1	11.7	2.0	0.0%
	"Blount County, AL"	"01009"	31	398946	7.8	5.3	11.0	1.4	8.2	5.6	11.6	1.5	0.0%
	"Bullock County, AL"	"01011"	Suppressed	75657	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Butler County, AL"	"01013"	Suppressed	145429	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Calhoun County, AL"	"01015"	10	820901	Unreliable	0.6	2.2	0.4	Unreliable	0.6	2.5	0.4	0.0%
	"Chambers County, AL"	"01017"	Suppressed	240957	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Cherokee County, AL"	"01019"	Suppressed	180576	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Chilton County, AL"	"01021"	Suppressed	303279	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Choctaw County, AL"	"01023"	Suppressed	97838	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
